;BEV;PHEV;HEV;GP;DP;EP;MRGDPI;TREP;TNL;PPI(BM);CPI(NV);NALR;Output
Jan-12;824;603;21.779;3,44;3,833;0,128;17267,033;539,035;;195,9;143,438;5,4;23206
Feb-12;639;1.023;36.222;3,64;3,953;0,128;17510,261;494,125;;195,9;144,326;5,07;37884
Mar-12;961;3.200;48.206;3,907;4,127;0,127;17324,307;541,244;;196;144,35;5,07;52367
Apr-12;479;3.116;39.901;3,958;4,115;0,127;17412,938;519,621;;196,5;144,522;5,07;43496
May-12;612;2.766;37.184;3,791;3,979;0,129;17475,958;546,977;;200,5;144,401;4,88;40562
Jun-12;863;2.455;34.558;3,596;3,759;0,135;17445,309;528,771;;200,4;144,367;4,88;37876
Jul-12;479;2.537;31.611;3,498;3,721;0,133;17518,063;520,168;;200,2;143,953;4,88;34627
Aug-12;866;3.878;38.369;3,78;3,983;0,133;17414,99;513,269;;200,3;143,749;4,88;43113
Sep-12;1.306;4.503;34.836;3,91;4,12;0,133;17476,622;475,61;;200,5;143,725;4,88;40645
Oct-12;2.240;4.994;33.290;3,812;4,094;0,128;17407,04;491,516;;199,7;144,011;4,88;40524
Nov-12;2.614;4.544;35.002;3,521;4;0,127;17485,928;489,078;;199,9;144,762;4,82;42160
Dec-12;2.704;4.965;43.690;3,381;3,961;0,127;17577,365;527,556;;199,8;145,181;4,82;51359
Jan-13;2.372;2.354;34.611;3,391;3,909;0,129;17719,605;542,692;;199,9;145,871;4,82;39337
Feb-13;2.666;2.789;40.173;3,736;4,111;0,129;17601,696;487,697;;201,2;145,925;4,69;45628
Mar-13;4.553;3.079;46.327;3,779;4,068;0,128;17666,628;541,012;;202,3;145,989;4,69;53959
Apr-13;4.403;2.735;42.804;3,638;3,93;0,128;17698,011;551,448;;202,6;146,188;4,69;49942
May-13;4.545;3.209;48.796;3,675;3,87;0,131;17652,704;578,378;;201,6;145,955;4,13;56550
Jun-13;4.573;4.169;44.924;3,689;3,849;0,137;17779,022;563,561;;200,7;146,076;4,13;53666
